Avg Sale To List	Avg Sale To List Mom	Avg Sale To List Yoy	City	Homes Sold	Homes Sold Mom	Homes Sold Yoy	Inventory	Inventory Mom	Inventory Yoy	Median Dom	Median Dom Mom	Median Dom Yoy	Median List Ppsf	Median List Ppsf Mom	Median List Ppsf Yoy	Median List Price	Median List Price Mom	Median List Price Yoy	Median Ppsf	Median Ppsf Mom	Median Ppsf Yoy	Median Sale Price	Median Sale Price Mom	Median Sale Price Yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	New Listings	New Listings Mom	New Listings Yoy	Period Begin	Period Duration	Period End	Price Drops	Price Drops Mom	Price Drops Yoy	Property Type	Region	Region Type	Sold Above List	Sold Above List Mom	Sold Above List Yoy	State	State Code	Table Id
1.005105706	1.80%	4.20%	San Diego	19	26.70%	-17.40%	24	0.00%	-11.10%	83	21	7	228.8089226	0.027202709	0.011576289	285000	0.244541485	0.14	209.3220339	-0.116195857	-0.035789615	$340K	44.70%	71.70%				27	17.40%	8.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Golden Hill"	neighborhood	0.368421053	0.235087719	0.151029748	California	CA	1115
1.088190186	1.60%	16.40%	San Diego	3	-40.00%	-40.00%	8	0.00%	14.30%	8	0	-79	167.2520661	0.070004469	-0.059434173	175000	0.12939658	-0.038197307	155.2631579	-0.076521739	0.100956938	$177K	0.00%	1.10%				9	12.50%	125.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Grant Hill"	neighborhood	1	0.2	1	California	CA	1134
0.9667024	-0.90%	0.40%	San Diego	51	30.80%	-3.80%	62	8.80%	-44.10%	65	-11	4	360.3561387	-0.005982953	-0.010384444	399000	0.058355438	-0.077349983	297.9066023	0.05135337	-0.119408281	$330K	9.80%	-22.50%				84	37.70%	-16.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Hillcrest"	neighborhood	0.137254902	-0.016591252	0.080651128	California	CA	1262
0.984198277	0.10%	-0.80%	San Diego	9	-40.00%	12.50%	7	16.70%	-53.30%	98	26	42.5	234.9837662	0.019618141	-0.004842787	309900	0.070466321	-0.059484067	234.7826087	0.023083004	-0.105098121	$322K	0.00%	-0.90%				9	80.00%	12.50%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Kearny Mesa"	neighborhood	0.222222222	0.022222222	-0.027777778	California	CA	1410
0.961857661	-2.00%	-0.30%	San Diego	17	0.00%	13.30%	24	41.20%	-27.30%	12.5	2.5	-34	405.6768559	0.005254314	0.004794566	660000	0.008403361	0.049284579	315.7216495	0.093357799	-0.174387887	$595K	4.60%	-4.80%				31	29.20%	6.90%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Kensington"	neighborhood	0	-0.176470588	-0.066666667	California	CA	1416
0.940538789	0.30%	0.10%	San Diego	135	-1.50%	4.70%	329	-0.60%	-20.70%	108	-26.5	29.5	518.6835714	0.063500416	0.024067564	999999.5	0.056523508	0.004582405	455.7522124	0.118510918	0.057814577	$950K	21.80%	17.30%				291	26.00%	-11.30%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - La Jolla"	neighborhood	0.088888889	0.008596918	0.026873385	California	CA	1445
0.954846866	0.40%	0.10%	San Diego	42	13.50%	0.00%	30	-6.30%	-55.20%	38	-3	-34.5	231.8451404	-0.021340749	-0.019043061	377000	-0.007633588	0.033018222	214.552027	-0.032565405	-0.040780923	$347K	2.80%	10.90%				58	18.40%	-12.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Lake Murray"	neighborhood	0.047619048	-0.033462033	-0.047619048	California	CA	1458
0.981877006	-0.30%	2.60%	San Diego	11	-31.30%	120.00%	27	0.00%	8.00%	42	-21	-189	508.9704666	-0.046519706	0.153156145	1049949.5	0.510718705	0.314079474	458.4775087	0.127329965	-0.027202179	$680K	48.80%	-40.00%				22	15.80%	-12.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - La Playa"	neighborhood	0.272727273	0.085227273	0.272727273	California	CA	1482
0.985487691	0.00%	1.00%	San Diego	35	-14.60%	-5.40%	38	2.70%	-22.40%	61	-29	-15	243.1972789	0.015657789	0.026125128	328500	0.100686882	0.107925801	239.0057361	0.104206501	0.092323405	$272K	-8.40%	-9.30%				50	31.60%	8.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Linda Vista"	neighborhood	0.2	-0.043902439	-0.07027027	California	CA	1538
0.997972581	0.90%	1.80%	San Diego	29	61.10%	3.60%	16	14.30%	-52.90%	50	-6	-12	329.7207268	0.016950178	-0.036069661	322000	0.073512252	0.160569472	297.7099237	0.017367	-0.03825446	$226K	2.50%	-3.10%				32	23.10%	6.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Little Italy"	neighborhood	0.344827586	0.011494253	0.130541872	California	CA	1543
0.97312981	0.10%	-0.10%	San Diego	47	6.80%	14.60%	37	-5.10%	-43.90%	52	-22	-33	255.14198	0.016654439	-0.048578228	494000	0.04	-0.03515625	253.7593985	0.039607896	-0.01555258	$389K	-18.30%	-27.90%				63	18.90%	-7.40%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Miramar Ranch North"	neighborhood	0.063829787	-0.027079304	-0.033731188	California	CA	1721
0.975455214	0.50%	0.40%	San Diego	173	4.80%	16.90%	93	-12.30%	-59.40%	49	-14	5.5	230.4748732	-0.000733095	-0.038893287	320000	0.000156274	-0.056047198	218.5053381	0	-0.069204752	$300K	2.40%	-11.40%				203	11.50%	-13.20%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Mira Mesa"	neighborhood	0.213872832	0.050236469	-0.029370411	California	CA	1722
0.953268221	0.80%	-3.60%	San Diego	15	15.40%	50.00%	28	16.70%	-26.30%	171	87	-40	519.8548614	-0.050438616	-0.06183121	669500	0.072057646	-0.16521197	559.6638655	-0.229007059	0.013566198	$725K	-11.00%	14.10%				20	42.90%	-16.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Mission Bay Park"	neighborhood	0.2	0.046153846	0	California	CA	1723
0.928975505	0.90%	-1.60%	San Diego	20	-13.00%	11.10%	49	14.00%	-22.20%	87.5	15.5	-99	700	0.00886194	0.189600858	895000	0.009019166	0.084848485	674.4538626	-0.083376462	0.31744694	$978K	-36.90%	51.00%				25	4.20%	-24.20%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Mission Beach"	neighborhood	0.1	0.056521739	0.044444444	California	CA	1725
0.970623832	0.90%	-1.30%	San Diego	14	40.00%	7.70%	27	-6.90%	-44.90%	215	80.5	65	471.8000832	0.037217247	0.070463315	794000	0.15499309	-0.086831512	468.5344828	0.397239781	0.072697368	$763K	8.20%	-14.80%				36	20.00%	5.90%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Mission Hills"	neighborhood	0.071428571	-0.028571429	-0.313186813	California	CA	1735
0.985533218	-0.40%	4.00%	San Diego	25	8.70%	-21.90%	18	5.90%	-52.60%	43.5	0	-12.5	224.3142145	0.004684931	0.121571072	245000	0.022964509	0.272727273	200.3759399	0.107469039	-0.117949259	$201K	12.90%	-18.80%				35	25.00%	-14.60%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Normal Heights"	neighborhood	0.32	0.015652174	-0.02375	California	CA	1844
0.978562841	-0.90%	0.70%	San Diego	36	12.50%	12.50%	26	-13.30%	-18.80%	40.5	5.5	-33.5	297.1938776	-0.00773731	0.051285225	379000	-0.001317523	0.075329834	281.8026147	0.030362506	0.034506403	$373K	3.50%	1.30%				39	-2.50%	-7.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - North Clairemont"	neighborhood	0.277777778	-0.065972222	0.152777778	California	CA	1864
0.977421641	0.10%	0.60%	San Diego	100	-2.90%	19.00%	59	-16.90%	-56.00%	32	-11	-26	297.9414951	0.101280045	0.083352005	339000	0.210714286	0.222062004	271.71243	0.056905901	0.033114056	$280K	0.00%	14.80%				121	3.40%	-16.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - North Park"	neighborhood	0.24	0.036116505	0.04952381	California	CA	1924
0.956721041	-0.60%	1.60%	San Diego	10	-16.70%	-33.30%	17	6.30%	-52.80%	118.5	15	48.5	435.9313838	0.020598052	0.085825751	454500	-0.125961538	-0.2728	474.8062016	0.131317084	0.398772324	$590K	12.90%	34.10%				24	71.40%	-11.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Ocean Beach"	neighborhood	0	-0.083333333	-0.133333333	California	CA	1994
0.975710081	0.10%	-1.50%	San Diego	44	-2.20%	-15.40%	35	-14.60%	-39.70%	48.5	-15.5	-14.5	158.3531275	0.043403153	0.009840516	224900	0.022272727	0.070952381	157.0996895	-0.044310222	0.073342607	$220K	-4.20%	-2.30%				71	12.70%	-2.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Otay Mesa West"	neighborhood	0.340909091	0.007575758	-0.13986014	California	CA	2054
0.96498129	0.50%	-0.80%	San Diego	72	-8.90%	-7.70%	154	11.60%	-24.50%	84	14.5	9	374.1496599	0.000322526	-0.036353579	523900	-0.004936382	-0.047445886	331.3666802	-0.04592643	-0.105454326	$453K	-4.20%	-5.60%				153	31.90%	-6.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Pacific Beach"	neighborhood	0.208333333	0.043776371	0.054487179	California	CA	2070
0.981892975	-0.10%	1.40%	San Diego	41	20.60%	41.40%	24	-36.80%	-52.90%	62	4	4	177.7650494	0.033905541	0.071070871	249450	0.043723849	0.028874054	166.6666667	0.033477445	-0.050980392	$227K	-2.20%	-3.40%				52	6.10%	-7.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Paradise Hills"	neighborhood	0.414634146	0.032281205	0.173254836	California	CA	2090
0.971691263	1.10%	4.40%	San Diego	22	-8.30%	-8.30%	36	24.10%	-12.20%	24.5	-54	-71	351.1798128	0.006967205	0.037896685	501950	-0.025339806	0.079462366	294.8237698	-0.060262995	-0.035314503	$355K	-14.50%	-29.00%				40	29.00%	14.30%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Park West"	neighborhood	0.227272727	0.018939394	0.185606061	California	CA	2111
0.964725772	0.20%	-0.10%	San Diego	205	5.70%	26.50%	170	-19.40%	-40.80%	100	9.5	22	234.3364578	0.032568265	0.036848696	400000	0.095890411	0.194033415	202.7027027	0.001163603	-0.069978734	$319K	12.50%	3.90%				223	7.70%	-13.20%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Rancho Bernardo"	neighborhood	0.12195122	-0.001760121	-0.044715447	California	CA	2230
0.967714283	-0.70%	-0.10%	San Diego	7	0.00%	-46.20%	21	5.00%	16.70%	49	3	-107	209.7560976	-0.000720396	-0.103952096	869900	-0.055993098	-0.064523067	197.7491961	0.101902465	-0.021416131	$883K	21.90%	-0.30%				23	64.30%	53.30%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Rancho Encantada"	neighborhood	0.142857143	-0.142857143	-0.164835165	California	CA	2234
0.954188591	0.50%	-3.90%	San Diego	18	0.00%	20.00%	16	14.30%	-36.00%	65	-23	-41	249.137931	0	0.183744354	325000	0.015625	-0.008959011	211.2622492	0.08825822	0.013675554	$273K	-6.00%	4.80%				29	26.10%	3.60%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Rolando"	neighborhood	0.166666667	-0.055555556	-0.166666667	California	CA	2316
0.970974964	-0.20%	0.00%	San Diego	30	15.40%	-9.10%	26	-7.10%	-46.90%	80.5	29.5	34.5	247.3722238	-0.011666493	-0.051328247	337000	-0.042613636	-0.182931264	236.0466612	-0.029560559	-0.097357568	$334K	5.90%	4.20%				42	23.50%	-16.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Sabre Springs"	neighborhood	0.2	0.046153846	0.109090909	California	CA	2355
0.975803733	0.50%	0.30%	San Diego	66	0.00%	34.70%	39	-4.90%	-49.40%	26	-16	-40	202.7809965	0.009687138	-0.036063974	345000	0.112903226	0.232142857	210.1019297	0.076664838	0.121471227	$313K	-14.40%	33.00%				75	8.70%	-9.60%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - San Carlos"	neighborhood	0.287878788	0.015151515	0.083797155	California	CA	2370
0.989300386	0.40%	0.20%	San Diego	32	0.00%	-13.50%	32	18.50%	0.00%	48.5	0	-6.5	146.2587614	0.052413043	0.014475664	255000	0.146067416	0.109177903	120.4594159	-0.07525224	-0.193848524	$160K	20.40%	-27.50%				41	7.90%	-4.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - San Ysidro"	neighborhood	0.4375	0	0.005067568	California	CA	2392
0.972944796	-0.20%	0.10%	San Diego	59	-3.30%	-10.60%	54	-5.30%	-46.50%	47	-25.5	-19	264.3867323	0.014739929	0.002298781	539000	0.021909435	0.080160321	235.5223053	0.013741078	-0.054298813	$499K	3.10%	9.40%				90	25.00%	-9.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Scripps Ranch"	neighborhood	0.152542373	0.005001389	-0.014124294	California	CA	2400
0.98636115	1.60%	-0.20%	San Diego	43	-6.50%	38.70%	33	-8.30%	-29.80%	46	-9	16	257.6754025	0.031452025	0.099586406	377450	0.034258352	0.087752161	221.6666667	-0.014298126	-0.096866667	$320K	1.60%	0.90%				60	15.40%	20.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Serra Mesa"	neighborhood	0.348837209	0.153185035	-0.0060015	California	CA	2417
0.967048275	0.00%	0.30%	San Diego	6	-25.00%	-33.30%	9	28.60%	-35.70%	23	-16	-76	305.3259871	0	0.152371456	665000	0.209090909	0.024653313	258.8600324	-0.061603324	-0.137606029	$656K	8.70%	13.00%				15	66.70%	-11.80%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Sorrento Valley"	neighborhood	0	0	-0.111111111	California	CA	2491
0.954862438	0.10%	-1.00%	San Diego	11	-26.70%	10.00%	8	-20.00%	-55.60%	28	0	10	393.5998621	0.025625673	0.049016521	489570	-0.010969697	0.066601307	350.877193	0.163808397	-0.114052509	$385K	0.00%	-23.40%				14	27.30%	-51.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - South Park"	neighborhood	0.181818182	-0.018181818	0.081818182	California	CA	2559
